X,Y,time,,,,
1.4197,-0.3786,5.1923436,,,,
1.403,-0.3637,5.2043436,,,,
1.385,-0.3455,5.2163431,,,,
1.3666,-0.3288,5.2283434,,,,
1.3485,-0.3152,5.2403428,,,,
1.3297,-0.3019,5.2523439,,,,
1.3116,-0.2815,5.2643429,,,,
1.2934,-0.2637,5.2763427,,,,
1.2713,-0.2414,5.2883427,,,,
1.2586,-0.2281,5.3003431,,,,
1.245,-0.2145,5.3123422,,,,
1.2294,-0.1991,5.3243425,,,,
1.2137,-0.1847,5.3363437,,,,
1.1983,-0.1732,5.3473434,,,,
1.1839,-0.1615,5.3593432,,,,
1.1687,-0.1497,5.3713432,,,,
1.1549,-0.1377,5.3833433,,,,
1.142,-0.1264,5.3953431,,,,
1.1279,-0.1157,5.4073433,,,,
1.1098,-0.1063,5.4193431,,,,
1.0907,-0.0984,5.4313432,,,,
1.0671,-0.0893,5.4433425,,,,
1.0477,-0.0854,5.4553434,,,,
1.0335,-0.081,5.4673434,,,,
1.02,-0.0758,5.4793424,,,,
1.0031,-0.0713,5.4913432,,,,
0.9805,-0.0658,5.5033433,,,,
0.9551,-0.063,5.5153424,,,,
0.9303,-0.0627,5.5273429,,,,
0.9039,-0.0632,5.5393425,,,,
0.8777,-0.0616,5.5513428,,,,
0.8519,-0.0589,5.5633428,,,,
0.8219,-0.0562,5.5753436,,,,
0.7884,-0.0557,5.5873434,,,,
0.751,-0.0515,5.599343,,,,
0.7211,-0.0586,5.6113667,,,,
0.6938,-0.0694,5.6233664,,,,
0.6684,-0.0791,5.6353659,,,,
0.6433,-0.0864,5.6473677,,,,
0.6079,-0.1028,5.6593662,,,,
0.5633,-0.1233,5.6713657,,,,
0.5307,-0.1316,5.6823664,,,,
0.5028,-0.1371,5.6943661,,,,
0.4783,-0.1417,5.7063668,,,,
0.4557,-0.1496,5.7183655,,,,
0.4312,-0.1606,5.730366,,,,
0.4026,-0.1714,5.7423668,,,,
0.3668,-0.1803,5.7543666,,,,
0.3342,-0.1937,5.7663657,,,,
0.3008,-0.2057,5.7783661,,,,
0.2631,-0.2164,5.7903659,,,,
0.2206,-0.2248,5.8023663,,,,
0.1697,-0.2295,5.8143659,,,,
0.1118,-0.2307,5.8263663,,,,
0.0509,-0.2279,5.8383664,,,,
-0.0092,-0.2227,5.8503662,,,,
-0.0802,-0.2283,5.8623672,,,,
-0.1359,-0.2236,5.8743665,,,,
-0.1941,-0.2205,5.886367,,,,
-0.2564,-0.2181,5.8983664,,,,
-0.3343,-0.2,5.9103891,,,,
-0.3905,-0.2011,5.9223899,,,,
-0.4427,-0.2008,5.9343885,,,,
-0.4937,-0.2018,5.9463888,,,,
-0.5448,-0.2008,5.9583906,,,,
-0.5974,-0.1969,5.9703891,,,,
-0.6456,-0.1945,5.9823896,,,,
-0.6877,-0.1935,5.9943895,,,,
-0.7235,-0.1916,6.005389,,,,
-0.7579,-0.1863,6.017389,,,,
-0.8076,-0.19,6.02939,,,,
-0.8582,-0.1853,6.041389,,,,
-0.9101,-0.1766,6.0533889,,,,
-0.9868,-0.1608,6.0653896,,,,
-1.0421,-0.1503,6.0773882,,,,
-1.0979,-0.1372,6.0893885,,,,
-1.1548,-0.1227,6.1013894,,,,
-1.2161,-0.1101,6.1133883,,,,
-1.2873,-0.0975,6.1253896,,,,
-1.3642,-0.0808,6.1373891,,,,
-1.4352,-0.0645,6.1493886,,,,
-1.501,-0.0503,6.1613882,,,,
-1.5638,-0.0393,6.1733891,,,,
-1.6262,-0.0301,6.185389,,,,
-1.689,-0.0229,6.1973895,,,,
-1.7473,-0.0184,6.2093015,,,,
-1.8147,-0.0042,6.2213009,,,,
-1.8602,-0.0062,6.233301,,,,
-1.9015,-0.011,6.245302,,,,
-1.9499,-0.0271,6.2573028,,,,
-1.9817,-0.0351,6.2693025,,,,
-2.0106,-0.0457,6.2813028,,,,
-2.0335,-0.0594,6.2933006,,,,
-2.0524,-0.0757,6.3053011,,,,
-2.069,-0.0925,6.3173009,,,,
-2.0854,-0.1083,6.3293017,,,,
-2.1022,-0.1233,6.3413021,,,,
-2.1285,-0.1365,6.3533031,,,,
-2.164,-0.146,6.3653013,,,,
-2.2121,-0.1455,6.3763007,,,,
-2.2562,-0.1624,6.3883025,,,,
-2.2882,-0.165,6.4003016,,,,
-2.3204,-0.1642,6.4123013,,,,
-2.3576,-0.1618,6.4243017,,,,
-2.3965,-0.1616,6.4363013,,,,
-2.442,-0.1611,6.4483012,,,,
-2.5108,-0.1735,6.4603015,,,,
-2.5671,-0.1706,6.4723009,,,,
-2.6229,-0.1653,6.4843008,,,,
-2.6786,-0.1613,6.4963014,,,,
-2.7343,-0.1561,6.5083199,,,,
-2.7927,-0.1492,6.5203201,,,,
-2.869,-0.1241,6.5323198,,,,
-2.9207,-0.1143,6.5443192,,,,
-2.9647,-0.1053,6.556319,,,,
-3.0008,-0.0973,6.5683199,,,,
-3.0284,-0.0907,6.5803192,,,,
-3.0532,-0.0851,6.5923199,,,,
-3.08,-0.0817,6.6043199,,,,
-3.1077,-0.0799,6.6163191,,,,
-3.1365,-0.08,6.6283193,,,,
-3.1683,-0.0776,6.6403197,,,,
-3.2026,-0.0726,6.6523194,,,,
-3.2439,-0.0739,6.6643202,,,,
-3.2728,-0.0691,6.6763196,,,,
-3.312,-0.0588,6.6883202,,,,
-3.3408,-0.0572,6.7003201,,,,
-3.3709,-0.0559,6.7123194,,,,
-3.3984,-0.0573,6.7233192,,,,
-3.4277,-0.065,6.7363203,,,,
-3.4527,-0.063,6.7473201,,,,
-3.4798,-0.0611,6.7593205,,,,
-3.5091,-0.0595,6.7713195,,,,
-3.539,-0.0598,6.7833199,,,,
-3.5681,-0.0616,6.7953191,,,,
-3.5948,-0.0632,6.8073214,,,,
-3.6195,-0.0634,6.8193196,,,,
-3.6396,-0.0648,6.8313457,,,,
-3.6586,-0.0647,6.8433191,,,,
-3.6752,-0.0724,6.8553195,,,,
-3.6886,-0.0785,6.8673198,,,,
-3.6985,-0.0869,6.8793196,,,,
-3.7047,-0.0957,6.8913201,,,,
-3.7104,-0.1049,6.9033198,,,,
-3.718,-0.1129,6.9153438,,,,
-3.7238,-0.1222,6.9273436,,,,
-3.7293,-0.1307,6.939344,,,,
-3.7384,-0.1368,6.951344,,,,
-3.7496,-0.1412,6.963344,,,,
-3.7595,-0.1449,6.9753441,,,,
-3.7619,-0.1488,6.9873435,,,,
-3.7608,-0.1506,6.9993428,,,,
-3.7579,-0.1525,7.0113696,,,,
-3.7591,-0.1533,7.0233454,,,,
-3.7607,-0.1557,7.0353438,,,,
-3.756,-0.1615,7.0473433,,,,
-3.7387,-0.1663,7.059348,,,,
-3.7195,-0.1721,7.0713465,,,,
-3.7032,-0.1785,7.082345,,,,
-3.6903,-0.1848,7.0943441,,,,
-3.6779,-0.192,7.1063448,,,,
-3.6665,-0.1975,7.1183646,,,,
-3.6554,-0.2007,7.130344,,,,
-3.6425,-0.2039,7.1423445,,,,
-3.6255,-0.2084,7.1543748,,,,
-3.6185,-0.2097,7.1663439,,,,
-3.6202,-0.2102,7.1783686,,,,
-3.6303,-0.2076,7.1903456,,,,
-3.6426,-0.2044,7.2023451,,,,
-3.6522,-0.2002,7.2143447,,,,
-3.6597,-0.1938,7.2263436,,,,
-3.6691,-0.1859,7.2383459,,,,
-3.6794,-0.1774,7.2503443,,,,
-3.6929,-0.1711,7.2623746,,,,
-3.7017,-0.1597,7.2743446,,,,
-3.7063,-0.1446,7.2863434,,,,
-3.7092,-0.1279,7.2983457,,,,
-3.7122,-0.1125,7.3103438,,,,
-3.7064,-0.1028,7.3223456,,,,
-3.6965,-0.0933,7.3343447,,,,
-3.689,-0.0831,7.346344,,,,
-3.6805,-0.073,7.3583448,,,,
-3.6687,-0.0654,7.3703449,,,,
-3.658,-0.0531,7.3823439,,,,
-3.651,-0.0396,7.3943443,,,,
-3.6453,-0.0285,7.4063442,,,,
-3.636,-0.0218,7.4173434,,,,
-3.625,-0.0162,7.4293457,,,,
-3.6126,-0.0065,7.4413439,,,,
-3.5978,0.0084,7.4533694,,,,
-3.593,0.0155,7.4653702,,,,
-3.5903,0.0242,7.4773699,,,,
-3.5924,0.0341,7.4893697,,,,
-3.5984,0.0434,7.5013698,,,,
-3.6075,0.052,7.513401,,,,
-3.6186,0.0606,7.5253696,,,,
-3.6337,0.0757,7.5373701,,,,
-3.6517,0.0977,7.5493702,,,,
-3.6747,0.1217,7.5613699,,,,
-3.7022,0.1471,7.5733697,,,,
-3.732,0.1715,7.5853702,,,,
-3.7614,0.1965,7.5973695,,,,
