X,Y,time
0.2994,7.2487,5.4034647
0.3101,7.2587,5.4143315
0.3194,7.2688,5.4258823
0.328,7.2785,5.4370095
0.3357,7.2885,5.4475229
0.343,7.2989,5.4592023
0.3494,7.3086,5.4707394
0.3553,7.3176,5.4808899
0.3612,7.3271,5.4930147
0.366,7.3365,5.5032523
0.3714,7.3452,5.5152918
0.3767,7.3538,5.525818
0.3825,7.3622,5.5376988
0.3875,7.3694,5.5488113
0.392,7.3771,5.5598903
0.3965,7.3845,5.5704063
0.4001,7.3914,5.5824602
0.404,7.3993,5.5927799
0.4095,7.4077,5.6038691
0.4147,7.4176,5.615311
0.4202,7.4283,5.6268229
0.4254,7.4403,5.637418
0.4312,7.4535,5.6494283
0.4366,7.468,5.6598095
0.4419,7.4823,5.6709612
0.447,7.4985,5.6824859
0.4497,7.5158,5.6937938
0.4521,7.5329,5.7049066
0.4535,7.5508,5.7159714
0.4542,7.5678,5.7266172
0.4538,7.5835,5.738628
0.4526,7.5992,5.7491352
0.4511,7.6142,5.7608756
0.4493,7.628,5.7720491
0.447,7.6411,5.7825929
0.4447,7.6529,5.7941143
0.4427,7.6636,5.8056507
0.4409,7.6735,5.8167184
0.4393,7.6829,5.8278622
0.438,7.6923,5.8387671
0.436,7.7007,5.8492856
0.433,7.7093,5.8608042
0.4299,7.7172,5.8718785
0.4263,7.7241,5.8829221
0.4225,7.7307,5.8944479
0.4181,7.7382,5.9059582
0.4125,7.7454,5.9166332
0.4066,7.7532,5.9276199
0.4,7.7609,5.9387242
0.3934,7.7675,5.9500257
0.3858,7.7733,5.9615621
0.3772,7.7779,5.97287
0.3683,7.7814,5.9839216
0.3583,7.7832,5.9946784
0.3491,7.7837,6.0062117
0.3401,7.7824,6.0177107
0.3319,7.7789,6.0287575
0.3255,7.7736,6.0400382
0.3196,7.7667,6.0504588
0.3151,7.7577,6.0620076
0.3107,7.7479,6.0735187
0.3059,7.7366,6.084539
0.3013,7.7232,6.095657
0.2964,7.709,6.1068853
0.2915,7.6938,6.1170984
0.2864,7.6774,6.1289529
0.2807,7.6618,6.1404942
0.2745,7.6459,6.1516485
0.268,7.6314,6.1627546
0.2605,7.6183,6.174002
0.2527,7.6058,6.1845181
0.2448,7.5943,6.1958914
0.2373,7.5856,6.2074169
0.2302,7.5778,6.2185811
0.2241,7.5725,6.2287288
0.2181,7.5677,6.2405491
0.212,7.5646,6.2520828
0.2056,7.5617,6.2626117
0.1982,7.5599,6.2735712
0.1908,7.5576,6.2849942
0.1828,7.5566,6.2965192
0.1748,7.5551,6.3076027
0.1671,7.5547,6.3186678
0.1596,7.5542,6.3298647
0.1525,7.5533,6.3413819
0.1455,7.5516,6.3522927
0.1397,7.5492,6.3632369
0.1338,7.5455,6.3744105
0.1279,7.5412,6.3861791
0.1223,7.5366,6.3972152
0.1167,7.5308,6.4077436
0.1112,7.5249,6.4188444
0.1053,7.5187,6.4305685
0.0997,7.5124,6.4416198
0.0947,7.5059,6.452183
0.0899,7.4996,6.4637118
0.0851,7.4941,6.4747473
0.08,7.4886,6.4858521
0.0742,7.4843,6.4979088
0.0683,7.4803,6.5084908
0.0625,7.4765,6.5197774
0.0569,7.4731,6.5309014
0.0511,7.4703,6.5420042
0.0463,7.467,6.553078
